epoch,train_loss,valid_loss,dice_multi,jaccard_coeff_multi
0,0.48058775067329407,0.5239568948745728,0.757523447687352,0.6331583141799134
1,0.44567814469337463,0.5468698740005493,0.7427597781919624,0.6175385299968229
2,0.423016220331192,0.49865803122520447,0.7683151812345838,0.6481662862867054
3,0.4205382168292999,0.5103024244308472,0.7577709670771436,0.6382483966144774
4,0.3982853293418884,0.5070251226425171,0.7680736092456052,0.6463390021506316
5,0.4359303116798401,0.5024263262748718,0.7616972242184201,0.6442391006562262
6,0.4021819531917572,0.5183115005493164,0.7721030675496761,0.6523748874068254
7,0.38506466150283813,0.5216093063354492,0.766300009102344,0.645773833158196
8,0.4007008969783783,0.5172138214111328,0.7694529658386114,0.6514111613485308
9,0.38695815205574036,0.5538966655731201,0.7625299274339303,0.6408355941875213
10,0.3581227958202362,0.47258636355400085,0.7846926186967176,0.6663634793100303
11,0.38140055537223816,0.49343159794807434,0.788491679635977,0.6687539476721547
12,0.357812762260437,0.5076181888580322,0.7735094439292641,0.6495962977910734
13,0.38462895154953003,0.5347458124160767,0.7531602911657794,0.6356269794916237
14,0.35208621621131897,0.49966350197792053,0.7891722844731524,0.6680482258426412
15,0.3443707227706909,0.647310197353363,0.7448930343505588,0.6172823471965322
16,0.3367707133293152,0.5815916657447815,0.756911345143533,0.6331241411635683
17,0.34755563735961914,0.5016753673553467,0.7818806160526907,0.6614922925683698
18,0.3704499304294586,0.5067742466926575,0.7753318081570025,0.6535674569126396
19,0.3282962143421173,0.5520640015602112,0.7798846880378293,0.6563513210251799
20,0.3127032518386841,0.48494279384613037,0.79586107569457,0.6778340052076048
